Theta, Alpha, Low_beta, High_beta, Gamma
4.54659,2.37758,0.741983,0.868024,0.29883,
0.757217,0.584362,0.14391,1.07394,0.256583,
2.8223,5.66804,0.882783,1.11084,0.445187,
0.474392,2.64408,0.488342,0.190993,0.11316,
4.08648,2.34945,0.373827,0.567723,0.375611,
4.9916,2.57352,0.703212,0.898794,0.311698,
0.768342,0.520238,0.14128,1.05009,0.251879,
2.5454,5.47627,0.688427,1.15702,0.459901,
0.433945,2.2801,0.393519,0.199346,0.133077,
3.97259,2.37098,0.468275,0.502585,0.412254,
5.39408,2.72287,0.713237,0.922778,0.333164,
0.727735,0.450719,0.146448,0.998936,0.257159,
2.27775,5.11144,0.608566,1.16713,0.478184,
0.449394,1.92693,0.309027,0.212051,0.151029,
3.87386,2.51259,0.580926,0.457794,0.419908,
5.74663,2.78091,0.759376,0.926558,0.353319,
0.674596,0.38499,0.159011,0.936383,0.269921,
2.21005,4.62627,0.611474,1.12952,0.489103,
0.533478,1.58861,0.238071,0.227397,0.162375,
3.75884,2.62976,0.659637,0.442028,0.393884,
6.0021,2.68528,0.814671,0.900389,0.368253,
0.61407,0.333885,0.185768,0.869841,0.283914,
2.29121,4.04853,0.696021,1.07621,0.492363,
0.649179,1.28386,0.191933,0.244236,0.165334,
3.4939,2.62545,0.696927,0.454796,0.345646,
6.01662,2.43139,0.855792,0.840704,0.375064,
0.603073,0.295339,0.206328,0.794609,0.290394,
2.46906,3.44906,0.816709,1.03497,0.475248,
0.734305,1.03276,0.171642,0.25612,0.161324,
3.00767,2.42791,0.675662,0.483761,0.294244,
5.73999,2.08862,0.856246,0.760261,0.37245,
0.597282,0.260448,0.221794,0.71861,0.286454,
2.62387,2.91635,0.944534,1.05119,0.446743,
0.802423,0.893474,0.175175,0.25794,0.154537,
2.38563,2.09815,0.627811,0.521695,0.257603,
5.06603,1.74888,0.824737,0.688309,0.3764,
0.632366,0.216333,0.222422,0.656508,0.27353,
2.72049,2.65773,1.05359,1.13857,0.41046,
